Общая площадь,Цена,Долгота,Состояние,Широта,Количество комнат,Всего этажей,Серия,Этаж,Год постройки,Санузел,Мебель,Отопление,Тип предложения
102.0,76500.0,74.5996,черновая отделка,42.8836,2.0,12.0,индивид. планировка,12.0,2014.0,раздельный,,центральное,от агента
30.0,15330.0,74.5257,среднее,42.8893,1.0,2.0,хрущевка,2.0,1969.0,совмещенный,пустая,центральное,от собственника
81.0,59000.0,74.5804,евроремонт,42.8802,2.0,10.0,элитка,9.0,2016.0,раздельный,полностью меблирована,центральное,от собственника
80.0,86000.0,74.6218,хорошее,42.8295,3.0,12.0,элитка,3.0,2019.0,раздельный,частично меблирована,центральное,от собственника
100.0,70000.0,74.6187,хорошее,42.8775,3.0,7.0,индивид. планировка,3.0,,,,центральное,от собственника
37.4,32800.0,74.6247,хорошее,42.8138,1.0,10.0,элитка,9.0,2020.0,,частично меблирована,,от собственника
40.0,34000.0,74.6877,хорошее,42.8551,1.0,9.0,106 серия,3.0,,,,центральное,от агента
120.0,87000.0,74.6143,хорошее,42.835,3.0,9.0,элитка,6.0,,раздельный,полностью меблирована,автономное,от агента
85.0,68000.0,74.5995,под самоотделку (псо),42.8836,2.0,12.0,индивид. планировка,12.0,2014.0,раздельный,,центральное,от агента
35.0,29500.0,74.5773,среднее,42.8723,1.0,5.0,хрущевка,1.0,1977.0,совмещенный,частично меблирована,центральное,от агента
34.0,28500.0,74.6322,требует ремонта,42.8737,1.0,5.0,105 серия,1.0,,совмещенный,пустая,центральное,от агента
73.0,52999.0,74.5884,,42.8545,2.0,10.0,элитка,9.0,2018.0,,,центральное,от собственника
44.0,39500.0,74.6267,евроремонт,42.839,2.0,4.0,104 серия,1.0,,совмещенный,,центральное,от агента
58.0,39500.0,74.6231,среднее,42.8362,3.0,4.0,104 серия,4.0,1980.0,совмещенный,частично меблирована,центральное,от собственника
113.0,69000.0,74.6381,под самоотделку (псо),42.8128,3.0,12.0,элитка,11.0,2015.0,раздельный,пустая,центральное,от собственника
63.0,46500.0,74.6786,среднее,42.8798,3.0,9.0,105 серия,8.0,1989.0,раздельный,частично меблирована,центральное,от собственника
116.2,99000.0,74.6208,под самоотделку (псо),42.8806,3.0,17.0,элитка,14.0,,2 с/у и более,пустая,центральное,от собственника
135.0,85000.0,74.6174,среднее,42.8848,3.0,5.0,индивид. планировка,2.0,1973.0,совмещенный,,центральное,от агента
58.0,42500.0,74.5719,среднее,42.8691,3.0,5.0,104 серия улучшенная,4.0,1988.0,совмещенный,частично меблирована,центральное,от собственника
106.0,159000.0,74.62,евроремонт,42.8739,3.0,13.0,элитка,7.0,2017.0,раздельный,полностью меблирована,центральное,от собственника
55.0,45500.0,74.6478,евроремонт,42.8768,3.0,10.0,элитка,4.0,,совмещенный,полностью меблирована,центральное,от собственника
86.0,64500.0,74.5995,черновая отделка,42.8836,2.0,12.0,индивид. планировка,12.0,2014.0,,,центральное,от агента
44.0,36500.0,74.6593,евроремонт,42.8785,2.0,4.0,104 серия,3.0,,совмещенный,полностью меблирована,центральное,от агента
116.0,77000.0,74.5865,хорошее,42.8267,3.0,9.0,индивид. планировка,1.0,2015.0,2 с/у и более,полностью меблирована,электрическое,от собственника
37.0,34000.0,74.5754,хорошее,42.8798,1.0,9.0,индивид. планировка,4.0,1992.0,,,центральное,от агента
55.0,62500.0,74.5892,евроремонт,42.8751,3.0,5.0,индивид. планировка,4.0,1966.0,раздельный,пустая,центральное,от агента
125.0,125000.0,74.5956,евроремонт,42.8723,4.0,10.0,элитка,8.0,2017.0,2 с/у и более,полностью меблирована,центральное,от собственника
46.0,39000.0,74.6252,хорошее,42.8384,2.0,4.0,104 серия улучшенная,2.0,1970.0,совмещенный,полностью меблирована,центральное,от собственника
46.2,36960.0,74.59,недостроено,42.8802,1.0,14.0,элитка,3.0,2020.0,раздельный,пустая,центральное,от собственника
48.0,48000.0,74.6216,евроремонт,42.8301,1.0,10.0,элитка,7.0,2015.0,совмещенный,частично меблирована,центральное,от собственника
98.0,89000.0,74.5944,евроремонт,42.8654,4.0,10.0,элитка,10.0,,раздельный,частично меблирована,центральное,от собственника
80.0,78000.0,74.6041,хорошее,42.8712,2.0,14.0,индивид. планировка,11.0,,,,,от агента
47.0,27000.0,74.5395,,42.8582,2.0,10.0,элитка,8.0,2017.0,,,центральное,от собственника
139.6,140000.0,74.6129,евроремонт,42.8525,3.0,9.0,элитка,7.0,2015.0,2 с/у и более,частично меблирована,центральное,от собственника
76.0,87000.0,74.5914,евроремонт,42.8718,2.0,12.0,элитка,7.0,2017.0,раздельный,полностью меблирована,центральное,от агента
82.0,75500.0,74.5929,евроремонт,42.8657,2.0,10.0,элитка,7.0,,,пустая,центральное,от собственника
58.0,41000.0,74.6143,хорошее,42.8327,3.0,4.0,104 серия,1.0,,,,центральное,от собственника
62.0,44500.0,74.6181,хорошее,42.835,3.0,9.0,105 серия,9.0,,раздельный,,центральное,от собственника
80.0,63500.0,74.637,евроремонт,42.8763,2.0,14.0,элитка,9.0,,,,центральное,от собственника
35.0,32000.0,74.6351,хорошее,42.8685,1.0,5.0,105 серия,3.0,,,,центральное,от собственника
62.0,54500.0,74.6129,среднее,42.8264,3.0,9.0,105 серия,8.0,,раздельный,частично меблирована,центральное,от собственника
36.0,23800.0,74.6914,среднее,42.8539,1.0,9.0,105 серия,9.0,,совмещенный,,центральное,от собственника
50.0,41500.0,74.5655,среднее,42.8396,2.0,5.0,105 серия,2.0,,,,центральное,от собственника
58.0,41500.0,74.6129,хорошее,42.8326,3.0,4.0,104 серия,1.0,,совмещенный,полностью меблирована,центральное,от собственника
34.0,29000.0,74.5679,хорошее,42.8463,1.0,9.0,105 серия,9.0,,,,центральное,от собственника
34.0,32000.0,74.6205,среднее,42.8702,1.0,5.0,105 серия,2.0,,,,центральное,от собственника
