,Общая площадь,Долгота,Состояние,Широта,Количество комнат,Количество просмотров,Всего этажей,Серия,Этаж,Длина описания,Год постройки,Высота потолков,Мебель,Возможность обмена,Отопление,Тип предложения,Санузел,кондиционер
157,116.2,74.6208,939,42.8806,3.0,353,17.0,2728,14.0,675,-999.0,3.0,716,3843,4104,3143,409,0
158,135.0,74.6174,338,42.8848,3.0,100,5.0,1189,2.0,171,1973.0,-999.0,3131,3843,4104,2623,1229,0
159,58.0,74.5719,338,42.8691,3.0,199,5.0,51,4.0,368,1988.0,-999.0,1148,3843,4104,3143,1229,0
160,106.0,74.62,1372,42.8739,3.0,8,13.0,2728,7.0,130,2017.0,3.0,771,3843,4104,3143,1775,0
161,55.0,74.6478,1372,42.8768,3.0,152,10.0,2728,4.0,562,-999.0,3.0,771,3843,4104,3143,1229,0
162,86.0,74.5995,103,42.8836,2.0,170,12.0,1189,12.0,310,2014.0,-999.0,3131,3843,4104,2623,2341,0
163,44.0,74.6593,1372,42.8785,2.0,85,4.0,374,3.0,365,-999.0,-999.0,771,3843,4104,2623,1229,0
164,116.0,74.5865,1510,42.8267,3.0,447,9.0,1189,1.0,153,2015.0,-999.0,771,721,277,3143,409,0
165,37.0,74.5754,1510,42.8798,1.0,2,9.0,1189,4.0,408,1992.0,-999.0,3131,3843,4104,2623,2341,0
166,55.0,74.5892,1372,42.8751,3.0,6,5.0,1189,4.0,296,1966.0,2.5,716,3843,4104,2623,1775,1
167,125.0,74.5956,1372,42.8723,4.0,552,10.0,2728,8.0,443,2017.0,3.0,771,3843,4104,3143,409,0
168,46.0,74.6252,1510,42.8384,2.0,626,4.0,51,2.0,636,1970.0,-999.0,771,3843,4104,3143,1229,0
169,46.2,74.59,38,42.8802,1.0,494,14.0,2728,3.0,320,2020.0,3.15,716,721,4104,3143,1775,0
170,48.0,74.6216,1372,42.8301,1.0,617,10.0,2728,7.0,550,2015.0,3.0,1148,3843,4104,3143,1229,0
171,98.0,74.5944,1372,42.8654,4.0,15,10.0,2728,10.0,617,-999.0,3.2,1148,3843,4104,3143,1775,0
172,80.0,74.6041,1510,42.8712,2.0,20,14.0,1189,11.0,545,-999.0,-999.0,3131,3843,861,2623,2341,0
173,47.0,74.5395,1257,42.8582,2.0,882,10.0,2728,8.0,282,2017.0,2.8,3131,721,4104,3143,2341,0
174,139.6,74.6129,1372,42.8525,3.0,1543,9.0,2728,7.0,550,2015.0,-999.0,1148,3843,4104,3143,409,0
175,76.0,74.5914,1372,42.8718,2.0,10,12.0,2728,7.0,932,2017.0,3.0,771,3843,4104,2623,1775,0
