Общая площадь,Долгота,Состояние,Широта,Количество комнат,Всего этажей,Серия,Этаж,Год постройки,Санузел,Мебель,Отопление,Тип предложения
48.0,74.591,1257,42.8249,1.0,9.0,41,7.0,2022.0,2353,3131,220,3143
46.0,74.5658,1257,42.8421,1.0,10.0,1189,6.0,-999.0,2353,3131,867,2623
70.0,74.5673,1510,42.8317,4.0,9.0,530,8.0,-999.0,1775,1148,4104,2623
45.0,74.588,338,42.8547,2.0,4.0,425,4.0,-999.0,1229,771,4104,3143
12.0,74.66,1510,42.874,1.0,2.0,74,2.0,-999.0,2353,1148,867,3143
88.0,74.5786,1257,42.8833,2.0,10.0,1189,7.0,2021.0,2353,3131,272,3143
53.0,74.6348,1372,42.8525,2.0,12.0,2731,3.0,2020.0,1229,771,4104,2623
115.0,74.6156,1372,42.8242,3.0,12.0,2731,2.0,2015.0,2353,771,4104,3143
43.0,74.6047,1510,42.8394,2.0,4.0,165,1.0,-999.0,1229,1148,4104,2623
39.0,74.5822,1372,42.8403,1.0,12.0,2731,12.0,2018.0,1229,1148,4104,3143
42.0,74.5996,1257,42.8475,2.0,2.0,1189,2.0,1960.0,2353,3131,867,2623
105.0,74.6186,1510,42.8231,3.0,9.0,2731,5.0,2015.0,1775,1148,4104,2623
42.0,74.5883,1372,42.8626,1.0,12.0,2731,7.0,-999.0,2353,3131,4104,3143
86.0,74.5849,53,42.8293,3.0,5.0,2731,4.0,2021.0,1775,3131,4104,3143
73.0,74.6322,1257,42.8249,3.0,10.0,2731,2.0,-999.0,2353,3131,867,3143
113.0,74.5422,1257,42.8517,4.0,12.0,2731,9.0,-999.0,2353,3131,867,2623
39.6,74.6483,939,42.8843,1.0,9.0,1189,2.0,2021.0,2353,3131,4104,3143
38.6,74.6244,1372,42.8708,1.0,12.0,2731,10.0,2019.0,1229,716,4104,2623
48.6,74.573,194,42.8738,2.0,5.0,1189,5.0,-999.0,1229,716,4104,2623
58.0,74.6229,1510,42.8294,3.0,4.0,425,1.0,-999.0,1229,771,4104,3143
88.0,74.6162,939,42.8188,2.0,8.0,2731,2.0,2021.0,2353,3131,4104,2623
72.0,74.5613,1510,42.8469,2.0,11.0,2731,9.0,2015.0,1775,3131,4104,3143
57.0,74.5883,1372,42.8626,2.0,12.0,2731,10.0,-999.0,2353,3131,4104,2623
56.0,74.6416,338,42.8122,2.0,9.0,519,1.0,-999.0,2353,3131,4104,3143
109.0,74.5946,1372,42.8802,3.0,9.0,2731,9.0,2009.0,409,771,4104,2623
100.0,74.6323,1510,42.8746,5.0,9.0,1189,5.0,-999.0,2353,3131,4104,2623
45.0,74.6298,1510,42.8844,1.0,9.0,519,5.0,-999.0,1229,1148,4104,3143
29.0,74.5925,338,42.8442,1.0,4.0,165,1.0,1963.0,1229,716,4104,2623
205.0,74.6365,939,42.8744,6.0,14.0,36,14.0,2015.0,409,3131,4104,3143
37.0,74.656,1510,42.8668,1.0,4.0,2731,2.0,2020.0,2353,3131,272,3143
137.0,74.6167,1510,42.8254,4.0,12.0,2731,6.0,2015.0,2353,3131,4104,3143
60.0,74.615,1257,42.8203,5.0,14.0,2731,5.0,2022.0,1229,3131,867,3143
60.0,74.6236,338,42.8323,3.0,5.0,425,4.0,-999.0,1229,716,4104,2623
70.0,74.6124,1372,42.8203,2.0,10.0,2731,6.0,2016.0,1775,716,220,3143
56.0,74.5912,1372,42.8677,1.0,10.0,1189,9.0,2018.0,1229,3131,867,3143
58.0,74.6233,1257,42.8745,3.0,5.0,425,1.0,-999.0,2353,3131,867,2623
67.0,74.6605,1510,42.8778,2.0,5.0,1189,5.0,1987.0,1775,771,4104,3143
32.0,74.6191,1510,42.8668,1.0,5.0,425,2.0,-999.0,1229,1148,4104,2623
45.0,74.6076,1372,42.8331,2.0,4.0,425,4.0,-999.0,2353,771,4104,2623
58.2,74.6253,1510,42.8356,3.0,4.0,425,4.0,1968.0,1229,771,4104,3143
150.0,74.6006,1510,42.8343,3.0,9.0,2731,6.0,-999.0,409,1148,867,3143
118.0,74.603,1372,42.8557,3.0,10.0,2731,2.0,-999.0,409,771,4104,2623
97.45,74.5841,939,42.8228,2.0,12.0,2731,2.0,2020.0,2353,3131,272,3143
38.0,74.6265,1257,42.8322,1.0,9.0,530,7.0,1998.0,2353,3131,4104,2623
79.0,74.6244,939,42.8708,2.0,12.0,2731,3.0,2019.0,1775,716,4104,2623
46.0,74.5924,194,42.8684,3.0,5.0,1189,1.0,-999.0,1775,3131,4104,2623
69.0,74.606,1257,42.8567,2.0,12.0,2731,7.0,-999.0,2353,3131,4104,3143
43.0,74.6192,1510,42.8816,2.0,5.0,425,5.0,1978.0,1229,771,4104,2623
75.06,74.6164,939,42.8181,2.0,8.0,2731,6.0,2021.0,1775,3131,4104,2623
83.0,74.6162,1372,42.8674,3.0,9.0,519,5.0,-999.0,1775,771,4104,3143
51.0,74.567,1510,42.8302,2.0,14.0,2731,9.0,2016.0,1229,771,4104,3143
44.0,74.6211,939,42.8277,1.0,10.0,2731,3.0,-999.0,2353,3131,4104,2623
20.0,74.5632,1257,42.8298,1.0,2.0,1189,2.0,-999.0,2353,3131,867,3143
190.0,74.5834,939,42.8235,4.0,12.0,2731,11.0,-999.0,409,3131,272,3143
84.2,74.5913,1257,42.8275,2.0,12.0,2731,5.0,-999.0,2353,3131,277,2623
138.0,74.6129,939,42.8281,2.0,13.0,2731,7.0,-999.0,2353,3131,4104,3143
58.0,74.6331,1510,42.8442,2.0,9.0,519,1.0,-999.0,1229,771,4104,2623
53.0,74.5924,1372,42.8878,2.0,5.0,2731,3.0,2020.0,1229,1148,272,2623
47.0,74.591,1372,42.8249,1.0,9.0,41,2.0,2020.0,1229,716,220,3143
136.0,74.6116,1510,42.8737,4.0,9.0,1189,3.0,-999.0,2353,3131,4104,2623
42.6,74.5806,194,42.8451,1.0,4.0,165,4.0,1960.0,1229,716,4104,3143
49.0,74.6081,1257,42.8603,2.0,9.0,530,9.0,-999.0,1775,3131,4104,3143
74.0,74.5829,1510,42.8766,3.0,5.0,1189,4.0,-999.0,1775,771,4104,3143
122.0,74.6025,939,42.8346,4.0,12.0,1189,1.0,-999.0,2353,3131,277,3143
62.0,74.5942,1372,42.8743,2.0,13.0,2731,12.0,2019.0,1775,771,4104,3143
45.0,74.5607,939,42.8807,1.0,12.0,2731,6.0,2021.0,1775,3131,220,3143
87.0,74.5786,939,42.8833,2.0,10.0,2731,5.0,2020.0,2353,3131,272,3143
58.0,74.5812,1257,42.8731,2.0,5.0,1189,3.0,1976.0,2353,3131,4104,2623
58.0,74.6008,1257,42.831,3.0,5.0,425,3.0,1980.0,2353,3131,867,2623
50.0,74.5884,1372,42.8544,1.0,10.0,2731,10.0,2018.0,1229,3131,867,3143
78.0,74.6003,939,42.8822,2.0,17.0,2731,16.0,2017.0,2353,3131,4104,3143
60.0,74.5956,1257,42.8724,1.0,10.0,2731,7.0,-999.0,2353,3131,867,2623
111.0,74.6222,939,42.8177,3.0,13.0,2731,5.0,2020.0,2353,3131,220,3143
48.0,74.5892,1257,42.8811,1.0,9.0,2731,9.0,-999.0,2353,3131,4104,3143
147.0,74.6088,1257,42.8698,3.0,9.0,1189,8.0,-999.0,2353,3131,4104,3143
110.0,74.5661,1257,42.8389,4.0,9.0,530,1.0,-999.0,2353,3131,867,2623
25.0,74.5862,1510,42.8832,1.0,5.0,74,3.0,1988.0,1229,1148,4104,2623
18.0,74.6501,1510,42.8557,1.0,2.0,1189,1.0,-999.0,1229,3131,272,2623
58.3,74.6055,1510,42.832,3.0,4.0,425,1.0,-999.0,1229,1148,4104,3143
12.0,74.5922,1257,42.8486,1.0,4.0,74,4.0,-999.0,2353,3131,4104,3143
80.0,74.5851,1257,42.8557,3.0,6.0,530,1.0,-999.0,2353,3131,867,2623
46.0,74.5998,1372,42.865,2.0,9.0,2731,4.0,2021.0,1775,716,4104,3143
100.0,74.6903,1372,42.8783,4.0,5.0,530,1.0,1988.0,1229,1148,4104,3143
75.7,74.609,1257,42.8725,3.0,9.0,1189,7.0,1993.0,2353,3131,867,2623
114.0,74.6311,1257,42.8189,3.0,9.0,519,9.0,-999.0,2353,3131,867,3143
57.0,74.6162,1372,42.8223,3.0,9.0,519,8.0,1991.0,1775,1148,4104,3143
110.0,74.5948,1257,42.8799,3.0,10.0,2731,9.0,2011.0,2353,3131,867,2623
